,Year,Disaster_Group,Disaster_Subgroup,Disaster_Type,Disaster_Subtype,Location,Origin,Aid_Contribution,Dis_Mag_Value,Latitude,Longitude,Local Time,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Total_Deaths,Total_Affected,Total_Damages_USD,CPI
498,1992,Natural,Meteorological,Extreme temperature,Cold wave,Bihar state,,,,,,,1992,1.0,,1992,1.0,,275.0,,,54.8846424128027
499,1992,Technological,Technological,Transport accident,Road,Near Sergaon (Arunachal Pradesh state),,,,,,,1992,3.0,29.0,1992,3.0,29.0,39.0,24.0,,54.8846424128027
500,1992,Technological,Technological,Transport accident,Road,Rajasthan,,,,,,,1992,10.0,23.0,1992,10.0,23.0,19.0,60.0,,54.8846424128027
501,1992,Technological,Technological,Transport accident,Road,Near Tikamgarh ( Madhya Pradesh),,,,,,,1992,8.0,29.0,1992,8.0,29.0,50.0,,,54.8846424128027
502,1992,Technological,Technological,Transport accident,Road,Near Hubli (Karnatka state),,,,,,,1992,5.0,29.0,1992,5.0,29.0,23.0,,,54.8846424128027
503,1992,Technological,Technological,Transport accident,Road,Near Tehri (Uttar Pradesh state),,,,,,,1992,3.0,20.0,1992,3.0,20.0,14.0,50.0,,54.8846424128027
504,1992,Technological,Technological,Transport accident,Road,Iwwski (Maghalaya state),,,,,,,1992,2.0,20.0,1992,2.0,20.0,30.0,7.0,,54.8846424128027
505,1992,Technological,Technological,Transport accident,Road,Ambla (Gujarat state),,,,,,,1992,1.0,14.0,1992,1.0,14.0,35.0,,,54.8846424128027
506,1992,Technological,Technological,Transport accident,Rail,Near Moradabad (Uttar Pradesh),,,,,,,1992,12.0,15.0,1992,12.0,15.0,20.0,60.0,,54.8846424128027
507,1992,Technological,Technological,Transport accident,Rail,Near Vijaywada,,,,,,,1992,4.0,5.0,1992,4.0,5.0,21.0,15.0,,54.8846424128027
508,1992,Technological,Technological,Industrial accident,Explosion,Jharia,,,,,,,1992,10.0,25.0,1992,10.0,25.0,25.0,100.0,,54.8846424128027
509,1992,Technological,Technological,Miscellaneous accident,Explosion,Bombay,,,,,,,1992,6.0,1.0,1992,6.0,1.0,21.0,,,54.8846424128027
510,1992,Technological,Technological,Industrial accident,Explosion,Naya (Delhi),,,,,,,1992,4.0,29.0,1992,4.0,29.0,25.0,24.0,,54.8846424128027
511,1992,Technological,Technological,Industrial accident,Poisoning,Cuttack (Orissa state),,,,,,,1992,5.0,11.0,1992,5.0,11.0,200.0,400.0,,54.8846424128027
512,1992,Technological,Technological,Industrial accident,Poisoning,Bombay,,,,,,,1992,1.0,1.0,1992,1.0,1.0,91.0,,,54.8846424128027
513,1992,Technological,Technological,Miscellaneous accident,Collapse,Srinigar,,,,,,,1992,5.0,4.0,1992,5.0,4.0,81.0,100.0,,54.8846424128027
514,1992,Technological,Technological,Miscellaneous accident,Collapse,Amritsar,,,,,,,1992,7.0,18.0,1992,7.0,18.0,22.0,,,54.8846424128027
515,1992,Technological,Technological,Miscellaneous accident,Collapse,Simla,,,,,,,1992,7.0,15.0,1992,7.0,15.0,35.0,45.0,,54.8846424128027
516,1992,Technological,Technological,Miscellaneous accident,Collapse,Kumbakonam,,,,,,,1992,2.0,18.0,1992,2.0,18.0,47.0,50.0,,54.8846424128027
517,1992,Technological,Technological,Miscellaneous accident,Fire,Mysore,,,,,,,1992,2.0,9.0,1992,2.0,9.0,36.0,,,54.8846424128027
518,1992,Natural,Hydrological,Flood,,"Tamil Nadu, Kerala, Karnataka, Andhra Pradesh states",,,,,,,1992,11.0,10.0,1992,11.0,10.0,179.0,500.0,69000.0,54.8846424128027
519,1993,Natural,Geophysical,Earthquake,Ground movement,"Killari, Haegoan, Sostour, Holi (Latur and Osmanabad districts, Maharastra state)",,16452.0,6.0,16.40 N,74.20 E,,1993,9.0,29.0,1993,9.0,29.0,9748.0,30000.0,280000.0,56.5046456390697
520,1993,Natural,Geophysical,Earthquake,Ground movement,Latur area,,,5.0,18.120 N,76.533 E,,1993,11.0,12.0,1993,11.0,12.0,,525.0,,56.5046456390697
521,1993,Natural,Hydrological,Flood,Flash flood,Karnataka state,Brief torrential rain,,,,,,1993,10.0,11.0,1993,10.0,21.0,35.0,10000.0,,56.5046456390697
522,1993,Natural,Hydrological,Flood,Riverine flood,Uttar Pradesh,Heavy rain,,,,,,1993,9.0,9.0,1993,9.0,17.0,260.0,,500000.0,56.5046456390697
523,1993,Natural,Hydrological,Flood,Riverine flood,"Tripura, Karamganj (Assam)",,,,,,,1993,5.0,,1993,5.0,,,50000.0,,56.5046456390697
524,1993,Natural,Hydrological,Flood,Riverine flood,Himachal Pradesh,,,,,,,1993,7.0,,1993,7.0,,175.0,,,56.5046456390697
525,1993,Natural,Hydrological,Landslide,Landslide,Bombay,,,,,,,1993,9.0,23.0,1993,9.0,23.0,20.0,25.0,,56.5046456390697
526,1993,Natural,Meteorological,Storm,Tropical cyclone,"Tamil Nadu, Karaikal region (Pondicherry)",,,120.0,,,,1993,12.0,4.0,1993,12.0,4.0,61.0,72000.0,100000.0,56.5046456390697
527,1993,Natural,Meteorological,Storm,Tropical cyclone,"Near Kandi (Murshidabad district, West Bengal)",,,200.0,,,,1993,4.0,9.0,1993,4.0,9.0,125.0,500.0,,56.5046456390697
528,1993,Natural,Biological,Insect infestation,Locust,"Gujarat, Rajasthan states",,,,,,,1993,9.0,,1993,9.0,,,,,56.5046456390697
529,1993,Technological,Technological,Transport accident,Air,Near Aurangabad,,,,,,,1993,4.0,26.0,1993,4.0,26.0,56.0,62.0,,56.5046456390697
530,1993,Technological,Technological,Transport accident,Road,Poona,,,,,,,1993,12.0,11.0,1993,12.0,11.0,38.0,41.0,,56.5046456390697
531,1993,Technological,Technological,Transport accident,Road,Bombay,,,,,,,1993,11.0,28.0,1993,11.0,28.0,25.0,30.0,,56.5046456390697
532,1993,Technological,Technological,Transport accident,Road,Bihar state,,,,,,,1993,10.0,10.0,1993,10.0,10.0,43.0,21.0,,56.5046456390697
533,1993,Technological,Technological,Transport accident,Road,Punjab,,,,,,,1993,9.0,20.0,1993,9.0,20.0,68.0,,,56.5046456390697
534,1993,Technological,Technological,Transport accident,Road,Hajipur (Bihar),,,,,,,1993,9.0,14.0,1993,9.0,14.0,60.0,,,56.5046456390697
535,1993,Technological,Technological,Transport accident,Road,Hyderabad,,,,,,,1993,8.0,22.0,1993,8.0,22.0,29.0,,,56.5046456390697
536,1993,Technological,Technological,Transport accident,Road,Andhra Pradesh,,,,,,,1993,8.0,3.0,1993,8.0,3.0,37.0,,,56.5046456390697
537,1993,Technological,Technological,Transport accident,Road,Meghalaya (Assam),,,,,,,1993,6.0,3.0,1993,6.0,3.0,29.0,24.0,,56.5046456390697
538,1993,Technological,Technological,Transport accident,Water,Kanpur,,,,,,,1993,12.0,1.0,1993,12.0,1.0,20.0,,,56.5046456390697
539,1993,Technological,Technological,Transport accident,Water,Near Golf of Bengal,,,,,,,1993,11.0,13.0,1993,11.0,13.0,26.0,,,56.5046456390697
540,1993,Technological,Technological,Transport accident,Rail,Googore (Rajasthan),,,,,,,1993,9.0,21.0,1993,9.0,21.0,26.0,51.0,,56.5046456390697
541,1993,Technological,Technological,Transport accident,Rail,Siwan,,,,,,,1993,8.0,4.0,1993,8.0,4.0,20.0,15.0,,56.5046456390697
542,1993,Technological,Technological,Transport accident,Rail,Bihar,,,,,,,1993,7.0,15.0,1993,7.0,15.0,20.0,100.0,,56.5046456390697
543,1993,Technological,Technological,Transport accident,Rail,Dharmapuri (Samalpatti),,,,,,,1993,6.0,3.0,1993,6.0,3.0,21.0,63.0,,56.5046456390697
544,1993,Technological,Technological,Transport accident,Rail,Kanpur,,,,,,,1993,1.0,16.0,1993,1.0,16.0,12.0,60.0,,56.5046456390697
545,1993,Technological,Technological,Transport accident,Rail,Gwalior (Madhya Pradesh),,,,,,,1993,11.0,24.0,1993,11.0,24.0,22.0,60.0,,56.5046456390697
546,1993,Technological,Technological,Transport accident,Rail,Near Borivli,,,,,,,1993,10.0,13.0,1993,10.0,13.0,49.0,70.0,,56.5046456390697
547,1993,Technological,Technological,Miscellaneous accident,Explosion,Calcutta,,,,,,,1993,3.0,17.0,1993,3.0,17.0,64.0,100.0,,56.5046456390697
548,1993,Technological,Technological,Industrial accident,Poisoning,Andhra Pradesh,,,,,,,1993,11.0,,1993,11.0,,20.0,3.0,,56.5046456390697
549,1993,Technological,Technological,Industrial accident,Poisoning,"Bangalore, Karnataka",,,,,,,1993,3.0,20.0,1993,3.0,20.0,16.0,630.0,,56.5046456390697
550,1993,Technological,Technological,Miscellaneous accident,Collapse,Sundla (Himalach Pradesh),,,,,,,1993,12.0,12.0,1993,12.0,12.0,20.0,6.0,,56.5046456390697
551,1993,Technological,Technological,Miscellaneous accident,Other,Assam,,,,,,,1993,8.0,,1993,8.0,,44.0,,,56.5046456390697
552,1993,Natural,Climatological,Drought,Drought,"Bihar, Orissa, Andhra Pradesh, Maharashtra, Gujarat, Madhya Prasdesh, Uttar Pradesh, Karnataka",,,,,,,1993,3.0,,1993,10.0,,,1175000.0,,56.5046456390697
553,1993,Natural,Hydrological,Flood,,"Punjab, Haryana, Himachal Pradesh, Gujarat, Jammu and Kashmir, Rajasthan, Madhya Pradesh, Chandigarh, Assam states",,964.0,80937.0,,,,1993,7.0,8.0,1993,7.0,31.0,827.0,128000000.0,7000000.0,56.5046456390697
554,1994,Technological,Technological,Industrial accident,Explosion,Assanone,,,,,,,1994,1.0,25.0,1994,1.0,25.0,96.0,,,57.9779742380726
555,1994,Natural,Meteorological,Storm,Tropical cyclone,"Tamil Nadu, Andhra Pradesh, Karnataka states",,,125.0,,,,1994,10.0,31.0,1994,11.0,4.0,208.0,428500.0,19100.0,57.9779742380726
556,1994,Natural,Meteorological,Storm,Convective storm,Mormugao,,,,,,,1994,6.0,7.0,1994,6.0,7.0,11.0,100.0,,57.9779742380726
557,1994,Natural,Hydrological,Flood,Riverine flood,New Delhi,,,,,,,1994,8.0,17.0,1994,8.0,17.0,14.0,2550.0,,57.9779742380726
558,1994,Natural,Meteorological,Extreme temperature,Heat wave,"New Delhi, Rajasthan, Madhya Pradesh",,,49.0,,,,1994,5.0,,1994,5.0,,161.0,,,57.9779742380726
559,1994,Natural,Biological,Epidemic,Bacterial disease,"Surat (Gujarat state), Beed (Maharashtra state)",,,,,,,1994,9.0,28.0,1994,9.0,28.0,53.0,5150.0,,57.9779742380726
560,1994,Technological,Technological,Transport accident,Air,Himachal Pradesh state,,,,,,,1994,7.0,9.0,1994,7.0,9.0,13.0,,,57.9779742380726
561,1994,Technological,Technological,Transport accident,Road,Maharashtra,,,,,,,1994,3.0,14.0,1994,3.0,14.0,64.0,,,57.9779742380726
562,1994,Technological,Technological,Transport accident,Road,Bihar,,,,,,,1994,1.0,13.0,1994,1.0,13.0,40.0,,,57.9779742380726
563,1994,Technological,Technological,Transport accident,Road,Kerala,,,,,,,1994,2.0,5.0,1994,2.0,5.0,40.0,60.0,,57.9779742380726
564,1994,Technological,Technological,Transport accident,Road,Pendjab,,,,,,,1994,4.0,10.0,1994,4.0,10.0,39.0,,,57.9779742380726
565,1994,Technological,Technological,Transport accident,Road,Jaipur,,,,,,,1994,9.0,4.0,1994,9.0,4.0,30.0,35.0,,57.9779742380726
566,1994,Technological,Technological,Transport accident,Road,Jamshedpur,,,,,,,1994,9.0,18.0,1994,9.0,18.0,19.0,50.0,,57.9779742380726
567,1994,Technological,Technological,Transport accident,Road,Uttar Pradesh,,,,,,,1994,10.0,30.0,1994,10.0,30.0,22.0,7.0,,57.9779742380726
568,1994,Technological,Technological,Transport accident,Road,Orissa,,,,,,,1994,11.0,17.0,1994,11.0,17.0,39.0,31.0,,57.9779742380726
569,1994,Technological,Technological,Transport accident,Road,Karnal,,,,,,,1994,4.0,14.0,1994,4.0,14.0,80.0,,,57.9779742380726
570,1994,Technological,Technological,Transport accident,Water,Tungabhadra river (Karnataka),,,,,,,1994,5.0,23.0,1994,5.0,23.0,35.0,,,57.9779742380726
571,1994,Technological,Technological,Transport accident,Water,Near Chimagurhi,,,,,,,1994,1.0,15.0,1994,1.0,15.0,100.0,,,57.9779742380726
572,1994,Technological,Technological,Transport accident,Water,"Bihar, Amlabad",,,,,,,1994,6.0,12.0,1994,6.0,12.0,60.0,,,57.9779742380726
573,1994,Technological,Technological,Transport accident,Water,Near Durgapur (Bengale),,,,,,,1994,9.0,23.0,1994,9.0,23.0,55.0,,,57.9779742380726
574,1994,Technological,Technological,Transport accident,Rail,Uttar Pradesh,,,,,,,1994,5.0,28.0,1994,5.0,28.0,23.0,13.0,,57.9779742380726
575,1994,Technological,Technological,Transport accident,Rail,Chakradhapur (Bihar),,,,,,,1994,10.0,26.0,1994,10.0,26.0,28.0,15.0,,57.9779742380726
576,1994,Technological,Technological,Transport accident,Rail,Bangalore,,,,,,,1994,12.0,31.0,1994,12.0,31.0,15.0,60.0,,57.9779742380726
577,1994,Technological,Technological,Industrial accident,Explosion,Maharashtra,,,,,,,1994,5.0,4.0,1994,5.0,4.0,22.0,76.0,,57.9779742380726
578,1994,Technological,Technological,Industrial accident,Explosion,Jhansi (Uttar Pradesh),,,,,,,1994,10.0,4.0,1994,10.0,4.0,26.0,27.0,,57.9779742380726
579,1994,Technological,Technological,Industrial accident,Explosion,Solapur,,,,,,,1994,5.0,4.0,1994,5.0,4.0,22.0,76.0,,57.9779742380726
580,1994,Technological,Technological,Industrial accident,Poisoning,Bihar,,,,,,,1994,11.0,19.0,1994,11.0,19.0,48.0,53.0,,57.9779742380726
581,1994,Technological,Technological,Industrial accident,Fire,Cuddapah (Andhra Pradesh state),,,,,,,1994,4.0,22.0,1994,4.0,22.0,20.0,10.0,,57.9779742380726
582,1994,Technological,Technological,Miscellaneous accident,Other,Nagpur,,,,,,,1994,11.0,23.0,1994,11.0,23.0,130.0,,,57.9779742380726
583,1994,Natural,Hydrological,Flood,,"Assam, Arunachal Pradesh, Jammu and Kashmir, Himachal, Punjab, Uttar Pradesh, Goa, Kerala, Gujarat states",,211.0,,,,,1994,5.0,,1994,10.0,,2001.0,12060050.0,175000.0,57.9779742380726
584,1995,Natural,Hydrological,Flood,Riverine flood,Sikkim state,Monsoonal rain,,6520.0,,,,1995,9.0,5.0,1995,9.0,8.0,35.0,,252.0,59.6044948945252
585,1995,Natural,Hydrological,Flood,Riverine flood,"Bihar, Haryana, Punjab, Rajasthan, Himachal Pradesh, Jammu and Kasmir, Uttar Pradesh, West Bengal, Maharashtra states",Monsoonal rain,427.0,762900.0,,,,1995,9.0,1.0,1995,9.0,20.0,1479.0,32704000.0,258000.0,59.6044948945252
586,1995,Natural,Hydrological,Flood,Riverine flood,Andhra Pradesh,Heavy rain,,,,,,1995,10.0,23.0,1995,10.0,23.0,,3000.0,2000.0,59.6044948945252
587,1995,Natural,Hydrological,Landslide,Avalanche,Kashmir province,Snow storm and heavy winds,,,,,,1995,1.0,16.0,1995,1.0,16.0,200.0,5250.0,,59.6044948945252
588,1995,Natural,Hydrological,Landslide,Landslide,Mizoram State,,,,,,,1995,6.0,3.0,1995,6.0,3.0,40.0,14285.0,4500.0,59.6044948945252
589,1995,Natural,Hydrological,Landslide,Landslide,Kulla (Himachal Pradesh),,,,,,,1995,9.0,12.0,1995,9.0,12.0,400.0,1100000.0,,59.6044948945252
590,1995,Natural,Meteorological,Storm,Tropical cyclone,"Orissa, Andra Pradesh",,,,,,,1995,11.0,10.0,1995,11.0,10.0,128.0,,46300.0,59.6044948945252
591,1995,Natural,Meteorological,Storm,Tropical cyclone,Andhra Pradesh,,,,,,,1995,10.0,20.0,1995,10.0,23.0,94.0,12000.0,2000.0,59.6044948945252
592,1995,Natural,Meteorological,Extreme temperature,Heat wave,"Bihar, Punjab, Haryana and Jammu, Kashmir, Tamil Nadu, Maharashtra, Orissa, Uttar Pradesh, New Delhi, Rajasthan, Madhya Pradesh",,,50.0,,,,1995,5.0,8.0,1995,6.0,21.0,558.0,,,59.6044948945252
593,1995,Technological,Technological,Transport accident,Road,Sathara,,,,,,,1995,2.0,25.0,1995,2.0,25.0,30.0,,,59.6044948945252
594,1995,Technological,Technological,Transport accident,Road,Madras (Tamil Nadu),,,,,,,1995,3.0,12.0,1995,3.0,12.0,48.0,,,59.6044948945252
595,1995,Technological,Technological,Transport accident,Road,Near Rampur (Himachal Pradesh-,,,,,,,1995,12.0,2.0,1995,12.0,2.0,29.0,51.0,,59.6044948945252
596,1995,Technological,Technological,Transport accident,Water,Bengale Occidental (Fleuve Damoda),,,,,,,1995,8.0,3.0,1995,8.0,3.0,60.0,,,59.6044948945252
597,1995,Technological,Technological,Transport accident,Water,"Danapur, Ganges",,,,,,,1995,10.0,29.0,1995,10.0,29.0,67.0,,,59.6044948945252
598,1995,Technological,Technological,Transport accident,Water,Begusarai (Gange fleuve),,,,,,,1995,11.0,27.0,1995,11.0,27.0,20.0,,,59.6044948945252
599,1995,Technological,Technological,Transport accident,Rail,Tamil Nadu,,,,,,,1995,5.0,14.0,1995,5.0,14.0,50.0,35.0,,59.6044948945252
600,1995,Technological,Technological,Transport accident,Rail,Firozabad,,,,,,,1995,8.0,20.0,1995,8.0,20.0,350.0,400.0,,59.6044948945252
601,1995,Technological,Technological,Transport accident,Rail,Kalubathan,,,,,,,1995,6.0,2.0,1995,6.0,2.0,58.0,275.0,,59.6044948945252
602,1995,Technological,Technological,Transport accident,Rail,Barpali,,,,,,,1995,6.0,2.0,1995,6.0,2.0,15.0,60.0,,59.6044948945252
603,1995,Technological,Technological,Transport accident,Rail,Between Makrana and Kuchaman city,,,,,,,1995,11.0,6.0,1995,11.0,6.0,18.0,2.0,,59.6044948945252
604,1995,Technological,Technological,Industrial accident,Explosion,Ahmedabad,,,,,,,1995,5.0,4.0,1995,5.0,4.0,10.0,,,59.6044948945252
605,1995,Technological,Technological,Industrial accident,Fire,Andhra Pradesh State,,,,,,,1995,1.0,9.0,1995,1.0,9.0,,25000.0,,59.6044948945252
606,1995,Technological,Technological,Industrial accident,Fire,Rohtak (Haryana State),,,,,,,1995,5.0,24.0,1995,5.0,24.0,23.0,10.0,,59.6044948945252
607,1995,Technological,Technological,Industrial accident,Other,Geslitand,,,,,,,1995,9.0,,1995,9.0,,64.0,,,59.6044948945252
608,1995,Technological,Technological,Miscellaneous accident,Fire,Dabwai (Haryana state),,,,,,,1995,12.0,23.0,1995,12.0,23.0,425.0,120.0,,59.6044948945252
609,1996,Natural,Meteorological,Storm,Tropical cyclone,"Andhra Pradesh, Karnataka, Kerala, West Begal, Tamil Nadu, Gujarat, Maharashtra, Uttar Pradesh, Assam, Haryana, Jammu and Kashmir, Rajasthan, Arunachal, Bihar, Tripura states",,,,,,,1996,6.0,14.0,1996,6.0,16.0,731.0,1842100.0,,61.3516297283817
610,1996,Natural,Meteorological,Storm,Tropical cyclone,"East and West Godavari, Kakinada (Andhra Pradesh state)",,,,,,,1996,11.0,6.0,1996,11.0,8.0,708.0,7000000.0,1500300.0,61.3516297283817
611,1996,Natural,Hydrological,Flood,Riverine flood,"Tamil Nadu, Andhra Pradesh, Kerala, Karnataka states",Heavy rains,1123.0,177500.0,,,,1996,10.0,21.0,1996,10.0,25.0,388.0,100000.0,90400.0,61.3516297283817
612,1996,Natural,Hydrological,Flood,Riverine flood,"West Bengal, Arunachal Pradesh, Assam",Monsoonal rain,,129000.0,,,,1996,7.0,10.0,1996,7.0,24.0,82.0,3000000.0,85000.0,61.3516297283817
613,1996,Natural,Hydrological,Flood,Riverine flood,"Kishanganj, Darbhanga, Sitamarhi, Saharsa districts (Bihar state)",Heavy rains,,171900.0,,,,1996,7.0,17.0,1996,8.0,10.0,74.0,4000000.0,980.0,61.3516297283817
614,1996,Natural,Hydrological,Landslide,Landslide,"Karnataka, Andhra Pradesh, Maharashtra",,,,,,,1996,9.0,30.0,1996,9.0,30.0,48.0,,,61.3516297283817
615,1996,Natural,Meteorological,Storm,Tropical cyclone,Oman Sea,,,,,,,1996,7.0,2.0,1996,7.0,2.0,92.0,,,61.3516297283817
616,1996,Natural,Meteorological,Storm,Tropical cyclone,Andhra Pradesh,,,180.0,,,,1996,12.0,4.0,1996,12.0,4.0,6.0,335000.0,,61.3516297283817
617,1996,Natural,Biological,Epidemic,Viral disease,New Delhi,,,56000.0,,,,1996,10.0,4.0,1996,11.0,28.0,354.0,8423.0,,61.3516297283817
618,1996,Technological,Technological,Transport accident,Air,Near Delhi,,,,,,,1996,11.0,12.0,1996,11.0,12.0,351.0,,36000.0,61.3516297283817
619,1996,Technological,Technological,Transport accident,Air,Near Nellore,,,,,,,1996,12.0,24.0,1996,12.0,24.0,22.0,,,61.3516297283817
620,1996,Technological,Technological,Transport accident,Road,Solapur (Maharashtra),,,,,,,1996,2.0,20.0,1996,2.0,20.0,20.0,,,61.3516297283817
621,1996,Technological,Technological,Transport accident,Road,Tamil Nadu,,,,,,,1996,2.0,24.0,1996,2.0,24.0,22.0,45.0,,61.3516297283817
622,1996,Technological,Technological,Transport accident,Road,Andhra Pradesh,,,,,,,1996,4.0,14.0,1996,4.0,14.0,40.0,,,61.3516297283817
623,1996,Technological,Technological,Transport accident,Road,Cuddapah,,,,,,,1996,9.0,7.0,1996,9.0,7.0,40.0,,,61.3516297283817
624,1996,Technological,Technological,Transport accident,Road,Near Mahiddinpur (Uttar Pradesh),,,,,,,1996,9.0,13.0,1996,9.0,13.0,10.0,50.0,,61.3516297283817
625,1996,Technological,Technological,Transport accident,Road,Near Bari Pattan (Jammu),,,,,,,1996,9.0,19.0,1996,9.0,19.0,17.0,55.0,,61.3516297283817
626,1996,Technological,Technological,Transport accident,Road,Near Chitradurga (Karnataka),,,,,,,1996,10.0,23.0,1996,10.0,23.0,61.0,,,61.3516297283817
627,1996,Technological,Technological,Transport accident,Road,Near Bhora (Himachal Pradesh),,,,,,,1996,11.0,25.0,1996,11.0,25.0,26.0,56.0,,61.3516297283817
628,1996,Technological,Technological,Transport accident,Road,Patna (Bihar),,,,,,,1996,12.0,10.0,1996,12.0,10.0,59.0,28.0,,61.3516297283817
629,1996,Technological,Technological,Transport accident,Water,Noa Dihing River (Assam),,,,,,,1996,7.0,31.0,1996,7.0,31.0,42.0,,,61.3516297283817
630,1996,Technological,Technological,Transport accident,Water,Sone River (Bihar),,,,,,,1996,8.0,28.0,1996,8.0,28.0,30.0,,,61.3516297283817
631,1996,Technological,Technological,Transport accident,Water,Nagavalli river (Andhra Pradesh),,,,,,,1996,8.0,31.0,1996,8.0,31.0,44.0,,,61.3516297283817
632,1996,Technological,Technological,Transport accident,Water,Bela river (Bihar),,,,,,,1996,10.0,20.0,1996,10.0,20.0,25.0,,,61.3516297283817
633,1996,Technological,Technological,Transport accident,Water,Brahmapoutre (Guwahati),,,,,,,1996,10.0,29.0,1996,10.0,29.0,95.0,,,61.3516297283817
634,1996,Technological,Technological,Transport accident,Rail,Gorakhpur,,,,,,,1996,4.0,18.0,1996,4.0,18.0,60.0,100.0,,61.3516297283817
635,1996,Technological,Technological,Transport accident,Rail,"Kottamkoikkal, Kerala",,,,,,,1996,5.0,14.0,1996,5.0,14.0,34.0,20.0,,61.3516297283817
636,1996,Technological,Technological,Transport accident,Rail,Andhra Pradesh,,,,,,,1996,8.0,10.0,1996,8.0,10.0,12.0,20.0,,61.3516297283817
637,1996,Technological,Technological,Transport accident,Rail,Uttar Pradesh,,,,,,,1996,5.0,26.0,1996,5.0,26.0,25.0,12.0,,61.3516297283817
638,1996,Technological,Technological,Transport accident,Rail,Between Domohani and Jalpaiguri,,,,,,,1996,5.0,11.0,1996,5.0,11.0,21.0,24.0,,61.3516297283817
639,1996,Technological,Technological,Transport accident,Rail,Between Kokrajhar and Fakiragram,,,,,,,1996,12.0,30.0,1996,12.0,30.0,33.0,62.0,,61.3516297283817
640,1996,Technological,Technological,Industrial accident,Explosion,Tamil Nadu,,,,,,,1996,9.0,12.0,1996,9.0,12.0,14.0,,,61.3516297283817
641,1996,Technological,Technological,Industrial accident,Poisoning,Bhiwandi (Maharashtra),,,,,,,1996,8.0,10.0,1996,8.0,10.0,37.0,50.0,,61.3516297283817
642,1996,Technological,Technological,Industrial accident,Poisoning,Tamil Nadu,,,,,,,1996,10.0,5.0,1996,10.0,5.0,29.0,40.0,,61.3516297283817
643,1996,Technological,Technological,Miscellaneous accident,Collapse,Bombay,,,,,,,1996,3.0,7.0,1996,3.0,7.0,27.0,,,61.3516297283817
644,1996,Technological,Technological,Miscellaneous accident,Other,"North, Centre",,,,,,,1996,7.0,15.0,1996,7.0,15.0,60.0,,,61.3516297283817
645,1996,Natural,Climatological,Drought,Drought,Rajasthan,,,72000.0,,,,1996,3.0,,1996,4.0,,,,542400.0,61.3516297283817
646,1996,Natural,Hydrological,Flood,,Jammu & Kashmir state,,,29600.0,,,,1996,8.0,23.0,1996,8.0,23.0,226.0,70000.0,,61.3516297283817
647,1996,Natural,Hydrological,Flood,,Uttar Pradesh,,,,,,,1996,7.0,11.0,1996,7.0,11.0,21.0,10.0,,61.3516297283817
648,1996,Natural,Hydrological,Flood,,"Bihar, Assam, Gujarat, Haryana, Kerala, Rajasthan, Uttar Pradesh",,,,,,,1996,8.0,25.0,1996,9.0,1.0,500.0,100000.0,17600.0,61.3516297283817
649,1997,Natural,Geophysical,Earthquake,Ground movement,Jabalpur (Madhya Pradesh),,,6.0,23.083 N,80.041 E,04:22,1997,5.0,22.0,1997,5.0,22.0,43.0,156500.0,37000.0,62.7858352045064
650,1997,Natural,Hydrological,Flood,Coastal flood,Coastal districts of West Bengal (no better info),,,3.0,,,,1997,8.0,22.0,1997,8.0,22.0,400.0,,,62.7858352045064
651,1997,Natural,Hydrological,Flood,Riverine flood,"Chandigarh, Chirgaon, Himalayan state of Himachal Pradesh.",Monsoonal rain,,,,,,1997,8.0,8.0,1997,8.0,14.0,135.0,20.0,71000.0,62.7858352045064
652,1997,Natural,Hydrological,Flood,Riverine flood,"Mehsana, Gandhi Nagar, Ahmedabad, Kheda, Sabarkanda, Vadodra, Banaskanda, Surender Nagar districts (Gujarat state)",Monsoonal rain,,,,,,1997,6.0,22.0,1997,6.0,28.0,111.0,1000000.0,153800.0,62.7858352045064
653,1997,Natural,Hydrological,Flood,Riverine flood,Guntoor (Guntur) and Prakasham districts (Andhra Pradesh),Heavy rain,,,,,,1997,9.0,19.0,1997,9.0,24.0,25.0,,,62.7858352045064
654,1997,Natural,Hydrological,Landslide,Landslide,Gangtok (city) Level 1 = Sikkim,,,,,,,1997,6.0,9.0,1997,6.0,9.0,28.0,30.0,,62.7858352045064
655,1997,Natural,Hydrological,Landslide,Landslide,Darjeeling Hills Level 1 = West Bengal,,,,,,,1997,8.0,6.0,1997,8.0,6.0,23.0,2000.0,,62.7858352045064
656,1997,Natural,Meteorological,Storm,Tropical cyclone,Andhra Pradesh,,,,,,,1997,8.0,22.0,1997,8.0,22.0,25.0,,,62.7858352045064
657,1997,Natural,Biological,Epidemic,Bacterial disease,"Valsad, Chikali and Gandevi (Valsad district) and Vyara and Mahuva taluks (Surat district)",,,,,,,1997,7.0,15.0,1997,9.0,11.0,48.0,413.0,,62.7858352045064
658,1997,Natural,Biological,Epidemic,Viral disease,Lucknow (city) Level 1 = Uttar Pradesh,,,,,,,1997,12.0,10.0,1997,12.0,10.0,,210.0,,62.7858352045064
659,1997,Natural,Biological,Epidemic,Viral disease,Kahool,,,,,,,1997,,,1997,,,32.0,267.0,,62.7858352045064
660,1997,Technological,Technological,Transport accident,Road,Agra,,,,,,,1997,8.0,5.0,1997,8.0,5.0,20.0,30.0,,62.7858352045064
661,1997,Technological,Technological,Transport accident,Road,Kapurthala,,,,,,,1997,1.0,19.0,1997,1.0,19.0,29.0,,,62.7858352045064
