,Year,Disaster_Group,Disaster_Subgroup,Disaster_Type,Disaster_Subtype,Location,Origin,Aid_Contribution,Dis_Mag_Value,Latitude,Longitude,Local Time,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Total_Deaths,Total_Affected,Total_Damages_USD,CPI
896,2002,Technological,Technological,Transport accident,Air,Zuarinagar (Goa state),,,,,,,2002,10.0,1.0,2002,10.0,1.0,15.0,15.0,,70.3578189693375
897,2002,Technological,Technological,Transport accident,Road,Ahmednagar region (Maharashtra state),,,,,,,2002,5.0,2.0,2002,5.0,2.0,45.0,20.0,,70.3578189693375
898,2002,Technological,Technological,Transport accident,Road,Uttar Pradesh,,,,,,,2002,5.0,26.0,2002,5.0,26.0,60.0,7.0,,70.3578189693375
899,2002,Technological,Technological,Transport accident,Road,Uttaranchal state,,,,,,,2002,6.0,16.0,2002,6.0,16.0,26.0,6.0,,70.3578189693375
900,2002,Technological,Technological,Transport accident,Road,Poonch district (Cachemire),,,,,,,2002,8.0,16.0,2002,8.0,16.0,28.0,10.0,,70.3578189693375
901,2002,Technological,Technological,Transport accident,Road,Kullu district (Himachal province),,,,,,,2002,9.0,7.0,2002,9.0,7.0,36.0,16.0,,70.3578189693375
902,2002,Technological,Technological,Transport accident,Road,Madhya Pradesh,,,,,,,2002,11.0,21.0,2002,11.0,21.0,60.0,30.0,,70.3578189693375
903,2002,Technological,Technological,Transport accident,Road,Madhya Pradesh state,,,,,,,2002,11.0,24.0,2002,11.0,24.0,27.0,,,70.3578189693375
904,2002,Technological,Technological,Transport accident,Road,Khaliyaneh (Cachemire),,,,,,,2002,11.0,30.0,2002,11.0,30.0,35.0,27.0,,70.3578189693375
905,2002,Technological,Technological,Transport accident,Road,Rangamati (Jalpaiguri district),,,,,,,2002,12.0,13.0,2002,12.0,13.0,15.0,60.0,,70.3578189693375
906,2002,Technological,Technological,Transport accident,Road,Surat (Gujarat),,,,,,,2002,1.0,9.0,2002,1.0,9.0,26.0,32.0,,70.3578189693375
907,2002,Technological,Technological,Transport accident,Road,Mahaboobghat (Andhra Pradesh),,,,,,,2002,4.0,27.0,2002,4.0,27.0,21.0,60.0,,70.3578189693375
908,2002,Technological,Technological,Transport accident,Road,Calcutta (West Bengal),,,,,,,2002,5.0,27.0,2002,5.0,27.0,46.0,,,70.3578189693375
909,2002,Technological,Technological,Transport accident,Road,Banka district (Bihar),,,,,,,2002,6.0,10.0,2002,6.0,10.0,24.0,20.0,,70.3578189693375
910,2002,Technological,Technological,Transport accident,Water,Kumarakom (Kottayam district),,,,,,,2002,7.0,27.0,2002,7.0,27.0,65.0,,,70.3578189693375
911,2002,Technological,Technological,Transport accident,Water,Jajpur district (Orissa state),,,,,,,2002,8.0,31.0,2002,8.0,31.0,51.0,,,70.3578189693375
912,2002,Technological,Technological,Transport accident,Water,Khagaria district (Bihar state),,,,,,,2002,9.0,2.0,2002,9.0,2.0,18.0,,,70.3578189693375
913,2002,Technological,Technological,Transport accident,Rail,"Lucknow, Jaunpur (Uttar Pradesh)",,,,,,,2002,5.0,11.0,2002,5.0,11.0,12.0,100.0,,70.3578189693375
914,2002,Technological,Technological,Transport accident,Rail,Chandi (Uttar Pradesh),,,,,,,2002,6.0,4.0,2002,6.0,4.0,30.0,25.0,,70.3578189693375
915,2002,Technological,Technological,Transport accident,Rail,Aurangabad district (Bihar state),,,,,,,2002,9.0,9.0,2002,9.0,9.0,112.0,200.0,,70.3578189693375
916,2002,Technological,Technological,Transport accident,Rail,Kurnool (Andhra Pradesh),,,,,,,2002,12.0,21.0,2002,12.0,21.0,19.0,70.0,,70.3578189693375
917,2002,Technological,Technological,Miscellaneous accident,Explosion,Penjab,,,,,,,2002,1.0,5.0,2002,1.0,5.0,15.0,,,70.3578189693375
918,2002,Technological,Technological,Miscellaneous accident,Explosion,Tamil Nadu,,,,,,,2002,9.0,16.0,2002,9.0,16.0,17.0,40.0,,70.3578189693375
919,2002,Technological,Technological,Industrial accident,Explosion,Villupuram district (Tamil Nadu state),,,,,,,2002,10.0,22.0,2002,10.0,22.0,12.0,6.0,,70.3578189693375
920,2002,Technological,Technological,Industrial accident,Fire,Agra,,,,,,,2002,5.0,24.0,2002,5.0,24.0,41.0,10.0,,70.3578189693375
921,2002,Technological,Technological,Miscellaneous accident,Collapse,Lucknow (Uttar Pradesh),,,,,,,2002,3.0,14.0,2002,3.0,14.0,23.0,,,70.3578189693375
922,2002,Natural,Climatological,Drought,Drought,"Uttar Pradesh, Madhya Pradesh, Rajasthan, Punjab, Haryana, Delhi, Karnataka, Kerala, Nagaland, Orissa, Chhattisgarh, Himachal Pradesh, Gujarat, Maharashtra, Andhra Pradesh, Tamil Nadu provinces",Insufficient and erratic monsoon rain,146.0,560000.0,,,,2002,7.0,,2002,,,,300000000.0,910722.0,70.3578189693375
923,2002,Technological,Technological,Miscellaneous accident,Fire,Hyderabad (Andhra Prasdesh state),,,,,,,2002,10.0,13.0,2002,10.0,13.0,12.0,14.0,,70.3578189693375
924,2002,Natural,Hydrological,Flood,,"Chennai, Coimbatore, Cuddalore districts (Tamil Nadu province",,,,,,,2002,10.0,1.0,2002,10.0,1.0,20.0,200.0,,70.3578189693375
925,2002,Natural,Biological,Epidemic,,Saharanpur (Uttar Pradesh),,,,,,,2002,9.0,1.0,2002,9.0,1.0,44.0,,,70.3578189693375
926,2003,Natural,Meteorological,Storm,,"Jammu and Kashmir (40424 to 40431), Punjab, Haryana provinces",,,,,,,2003,2.0,19.0,2003,2.0,19.0,14.0,4.0,,71.9550065545137
927,2003,Natural,Meteorological,Storm,Convective storm,"Bankura, Hugli, Haora districts (West Bengal province)",,,,,,,2003,3.0,12.0,2003,3.0,12.0,30.0,485910.0,16000.0,71.9550065545137
928,2003,Natural,Meteorological,Storm,Tropical cyclone,Gujarat province,,,,,,,2003,2.0,18.0,2003,2.0,18.0,5.0,140.0,,71.9550065545137
